**	a	1
**	b	1
**	ab	1
**	abc	1
**	axc	1
**	a/b	1
**	a/c	1
**	a.x	1
**	b.x	1
**	a.b.c	1
**	a.b.c.d	1
**	.b	1
**	.c	1
**	c	1
**	a///	1
**	a/./b/	0
**	abx	1
**	b.x.x	1
**	b/	1
**	a/b/c	1
**	x.c	1
**	.x	1
**	a/b.c	1
**	a/.b	1
**	a/.b/	1
**	a//b	1
**	a/b/	1
**	a/.b/c	1
**	a/./b/c	0
**	a	1
**	a	1
**	a.x	1
**	a/.b.c	1
**	a.b.c	1
**	keepdir	1
**	keepdir/file	1
**	keepdir/sub/file	1
**	keepdir/.hidden/file	1
**	.other/keepdir/sub	1
**	.other/keepdir/file.log	1
**	other/x	1
**	.keepdir	1
**	.other	1
**	keep	1
**	out/x	1
**	a.b.c.x	1
**	keep/a.log	1
**	keep/sub/b.log	1
**	keep/.h.log	1
**	keep/	1
**	a/x.c	1
**	a/b.c	1
**	b.c	1
**	.b.c	1
**	c.x	1
**	ax.c	1
**	a/.x	1
**	abc	1
**	x	1
**	y	1
**	..	0
**	.	0
**	a/x	1
**	c.d	1
**	fgh	1
**	b/c.d	1
**	x.log	1
**	keep.log	1
*	a	1
*	b	1
*	ab	1
*	abc	1
*	axc	1
*	a/b	0
*	a/c	0
*	a.x	1
*	b.x	1
*	a.b.c	1
*	a.b.c.d	1
*	.b	1
*	.c	1
*	c	1
*	a///	1
*	a/./b/	0
*	abx	1
*	b.x.x	1
*	b/	1
*	a/b/c	0
*	x.c	1
*	.x	1
*	a/b.c	0
*	a/.b	0
*	a/.b/	0
*	a//b	0
*	a/b/	0
*	a/.b/c	0
*	a/./b/c	0
*	a	1
*	a	1
*	a.x	1
*	a/.b.c	0
*	a.b.c	1
*	keepdir	1
*	keepdir/file	0
*	keepdir/sub/file	0
*	keepdir/.hidden/file	0
*	.other/keepdir/sub	0
*	.other/keepdir/file.log	0
*	other/x	0
*	.keepdir	1
*	.other	1
*	keep	1
*	out/x	0
*	a.b.c.x	1
*	keep/a.log	0
*	keep/sub/b.log	0
*	keep/.h.log	0
*	keep/	1
*	a/x.c	0
*	a/b.c	0
*	b.c	1
*	.b.c	1
*	c.x	1
*	ax.c	1
*	a/.x	0
*	abc	1
*	x	1
*	y	1
*	..	0
*	.	0
*	a/x	0
*	c.d	1
*	fgh	1
*	b/c.d	0
*	x.log	1
*	keep.log	1
?	a	1
?	b	1
?	ab	0
?	abc	0
?	axc	0
?	a/b	0
?	a/c	0
?	a.x	0
?	b.x	0
?	a.b.c	0
?	a.b.c.d	0
?	.b	0
?	.c	0
?	c	1
?	a///	1
?	a/./b/	0
?	abx	0
?	b.x.x	0
?	b/	1
?	a/b/c	0
?	x.c	0
?	.x	0
?	a/b.c	0
?	a/.b	0
?	a/.b/	0
?	a//b	0
?	a/b/	0
?	a/.b/c	0
?	a/./b/c	0
?	a	1
?	a	1
?	a.x	0
?	a/.b.c	0
?	a.b.c	0
?	keepdir	0
?	keepdir/file	0
?	keepdir/sub/file	0
?	keepdir/.hidden/file	0
?	.other/keepdir/sub	0
?	.other/keepdir/file.log	0
?	other/x	0
?	.keepdir	0
?	.other	0
?	keep	0
?	out/x	0
?	a.b.c.x	0
?	keep/a.log	0
?	keep/sub/b.log	0
?	keep/.h.log	0
?	keep/	0
?	a/x.c	0
?	a/b.c	0
?	b.c	0
?	.b.c	0
?	c.x	0
?	ax.c	0
?	a/.x	0
?	abc	0
?	x	1
?	y	1
?	..	0
?	.	0
?	a/x	0
?	c.d	0
?	fgh	0
?	b/c.d	0
?	x.log	0
?	keep.log	0
?.x	a	0
?.x	b	0
?.x	ab	0
?.x	abc	0
?.x	axc	0
?.x	a/b	0
?.x	a/c	0
?.x	a.x	1
?.x	b.x	1
?.x	a.b.c	0
?.x	a.b.c.d	0
?.x	.b	0
?.x	.c	0
?.x	c	0
?.x	a///	0
?.x	a/./b/	0
?.x	abx	0
?.x	b.x.x	0
?.x	b/	0
?.x	a/b/c	0
?.x	x.c	0
?.x	.x	0
?.x	a/b.c	0
?.x	a/.b	0
?.x	a/.b/	0
?.x	a//b	0
?.x	a/b/	0
?.x	a/.b/c	0
?.x	a/./b/c	0
?.x	a	0
?.x	a	0
?.x	a.x	1
?.x	a/.b.c	0
?.x	a.b.c	0
?.x	keepdir	0
?.x	keepdir/file	0
?.x	keepdir/sub/file	0
?.x	keepdir/.hidden/file	0
?.x	.other/keepdir/sub	0
?.x	.other/keepdir/file.log	0
?.x	other/x	0
?.x	.keepdir	0
?.x	.other	0
?.x	keep	0
?.x	out/x	0
?.x	a.b.c.x	0
?.x	keep/a.log	0
?.x	keep/sub/b.log	0
?.x	keep/.h.log	0
?.x	keep/	0
?.x	a/x.c	0
?.x	a/b.c	0
?.x	b.c	0
?.x	.b.c	0
?.x	c.x	1
?.x	ax.c	0
?.x	a/.x	0
?.x	abc	0
?.x	x	0
?.x	y	0
?.x	..	0
?.x	.	0
?.x	a/x	0
?.x	c.d	0
?.x	fgh	0
?.x	b/c.d	0
?.x	x.log	0
?.x	keep.log	0
*.c	a	0
*.c	b	0
*.c	ab	0
*.c	abc	0
*.c	axc	0
*.c	a/b	0
*.c	a/c	0
*.c	a.x	0
*.c	b.x	0
*.c	a.b.c	1
*.c	a.b.c.d	0
*.c	.b	0
*.c	.c	1
*.c	c	0
*.c	a///	0
*.c	a/./b/	0
*.c	abx	0
*.c	b.x.x	0
*.c	b/	0
*.c	a/b/c	0
*.c	x.c	1
*.c	.x	0
*.c	a/b.c	0
*.c	a/.b	0
*.c	a/.b/	0
*.c	a//b	0
*.c	a/b/	0
*.c	a/.b/c	0
*.c	a/./b/c	0
*.c	a	0
*.c	a	0
*.c	a.x	0
*.c	a/.b.c	0
*.c	a.b.c	1
*.c	keepdir	0
*.c	keepdir/file	0
*.c	keepdir/sub/file	0
*.c	keepdir/.hidden/file	0
*.c	.other/keepdir/sub	0
*.c	.other/keepdir/file.log	0
*.c	other/x	0
*.c	.keepdir	0
*.c	.other	0
*.c	keep	0
*.c	out/x	0
*.c	a.b.c.x	0
*.c	keep/a.log	0
*.c	keep/sub/b.log	0
*.c	keep/.h.log	0
*.c	keep/	0
*.c	a/x.c	0
*.c	a/b.c	0
*.c	b.c	1
*.c	.b.c	1
*.c	c.x	0
*.c	ax.c	1
*.c	a/.x	0
*.c	abc	0
*.c	x	0
*.c	y	0
*.c	..	0
*.c	.	0
*.c	a/x	0
*.c	c.d	0
*.c	fgh	0
*.c	b/c.d	0
*.c	x.log	0
*.c	keep.log	0
*.c.*	a	0
*.c.*	b	0
*.c.*	ab	0
*.c.*	abc	0
*.c.*	axc	0
*.c.*	a/b	0
*.c.*	a/c	0
*.c.*	a.x	0
*.c.*	b.x	0
*.c.*	a.b.c	0
*.c.*	a.b.c.d	1
*.c.*	.b	0
*.c.*	.c	0
*.c.*	c	0
*.c.*	a///	0
*.c.*	a/./b/	0
*.c.*	abx	0
*.c.*	b.x.x	0
*.c.*	b/	0
*.c.*	a/b/c	0
*.c.*	x.c	0
*.c.*	.x	0
*.c.*	a/b.c	0
*.c.*	a/.b	0
*.c.*	a/.b/	0
*.c.*	a//b	0
*.c.*	a/b/	0
*.c.*	a/.b/c	0
*.c.*	a/./b/c	0
*.c.*	a	0
*.c.*	a	0
*.c.*	a.x	0
*.c.*	a/.b.c	0
*.c.*	a.b.c	0
*.c.*	keepdir	0
