**	x	1=>1
**	x	0=>1
**	ax	1=>1
**	ax	0=>1
**	ab	1=>1
**	ab	0=>1
**	a/b	1=>1
**	a/b	0=>1
**	a/x	1=>1
**	a/x	0=>1
**	a/.b	1=>1
**	a/.b	0=>0
**	a/.b/x	1=>1
**	a/.b/x	0=>0
**	b/x	1=>1
**	b/x	0=>1
**	keepdir	1=>1
**	keepdir	0=>1
**	keepdir/f	1=>1
**	keepdir/f	0=>1
**	keepdir/./f	1=>0
**	keepdir/./f	0=>0
**	.b/.x	1=>1
**	.b/.x	0=>0
**	.b	1=>1
**	.b	0=>0
**	keep/x.log	1=>1
**	keep/x.log	0=>1
**	keep/.x.log	1=>1
**	keep/.x.log	0=>0
**	keep/a/b.log	1=>1
**	keep/a/b.log	0=>1
**	a/x	1=>1
**	a/x	0=>1
**	b/x	1=>1
**	b/x	0=>1
**	.y/x	1=>1
**	.y/x	0=>0
**	.x	1=>1
**	.x	0=>0
**	x.d	1=>1
**	x.d	0=>1
**	.keepdir	1=>1
**	.keepdir	0=>0
**	keepdir/.keepdir	1=>1
**	keepdir/.keepdir	0=>0
**	keep.log	1=>1
**	keep.log	0=>1
**	a.log	1=>1
**	a.log	0=>1
**	.a.log	1=>1
**	.a.log	0=>0
**	keep/sub.log	1=>1
**	keep/sub.log	0=>1
**	x.log	1=>1
**	x.log	0=>1
**	y.log	1=>1
**	y.log	0=>1
*	x	1=>1
*	x	0=>1
*	ax	1=>1
*	ax	0=>1
*	ab	1=>1
*	ab	0=>1
*	a/b	1=>0
*	a/b	0=>0
*	a/x	1=>0
*	a/x	0=>0
*	a/.b	1=>0
*	a/.b	0=>0
*	a/.b/x	1=>0
*	a/.b/x	0=>0
*	b/x	1=>0
*	b/x	0=>0
*	keepdir	1=>1
*	keepdir	0=>1
*	keepdir/f	1=>0
*	keepdir/f	0=>0
*	keepdir/./f	1=>0
*	keepdir/./f	0=>0
*	.b/.x	1=>0
*	.b/.x	0=>0
*	.b	1=>1
*	.b	0=>0
*	keep/x.log	1=>0
*	keep/x.log	0=>0
*	keep/.x.log	1=>0
*	keep/.x.log	0=>0
*	keep/a/b.log	1=>0
*	keep/a/b.log	0=>0
*	a/x	1=>0
*	a/x	0=>0
*	b/x	1=>0
*	b/x	0=>0
*	.y/x	1=>0
*	.y/x	0=>0
*	.x	1=>1
*	.x	0=>0
*	x.d	1=>1
*	x.d	0=>1
*	.keepdir	1=>1
*	.keepdir	0=>0
*	keepdir/.keepdir	1=>0
*	keepdir/.keepdir	0=>0
*	keep.log	1=>1
*	keep.log	0=>1
*	a.log	1=>1
*	a.log	0=>1
*	.a.log	1=>1
*	.a.log	0=>0
*	keep/sub.log	1=>0
*	keep/sub.log	0=>0
*	x.log	1=>1
*	x.log	0=>1
*	y.log	1=>1
*	y.log	0=>1
?	x	1=>1
?	x	0=>1
?	ax	1=>0
?	ax	0=>0
?	ab	1=>0
?	ab	0=>0
?	a/b	1=>0
?	a/b	0=>0
?	a/x	1=>0
?	a/x	0=>0
?	a/.b	1=>0
?	a/.b	0=>0
?	a/.b/x	1=>0
?	a/.b/x	0=>0
?	b/x	1=>0
?	b/x	0=>0
?	keepdir	1=>0
?	keepdir	0=>0
?	keepdir/f	1=>0
?	keepdir/f	0=>0
?	keepdir/./f	1=>0
?	keepdir/./f	0=>0
?	.b/.x	1=>0
?	.b/.x	0=>0
?	.b	1=>0
?	.b	0=>0
