<null>		.	0
<null>		..	0
<null>		a	0
<null>		b	0
<null>		x	0
<null>		ax	0
<null>		.b	0
<null>		.c	0
<null>		.other	0
<null>		aa	0
<null>		a.c	0
<null>		.b.c	0
<null>		x.c	0
<null>		ab.c	0
<null>		.txt	0
<null>		a.txt	0
<null>		.log	0
<null>		keep	0
<null>		keepdir	0
<null>		ab	0
<null>		a_b	0
<null>		pdf	0
<null>		a.pdf	0
<null>		.pdf	0
<null>		out	0
<null>		outdir	0
<null>		x/	0
<null>		log.1	0
<null>		log.2.log	0
<null>		b.log	0
<null>		a.b	0
<null>		keepdir/.other/keepdir/sub/file	0
<null>		a/b	0
<null>		a/b/c	0
<null>		a/b/c/d	0
<null>		a//b	0
<null>		a///b	0
<null>		a/b/	0
<null>		a/.b	0
<null>		a/./b	0
<null>		a/.	0
<null>		a/..	0
<null>		.other/keepdir	0
<null>		.other/keepdir/sub	0
<null>		keepdir/file	0
<null>		keepdir/.f	0
<null>		keepdir/.f/child	0
<null>		other/keepdir/file	0
<null>		a/x	0
<null>		.b/x	0
<null>		a/.b/x	0
<null>		a/./x	0
<null>		b/x	0
<null>		x.log	0
<null>		a/b.log	0
<null>		a.b/c	0
<null>		a/.b/c	0
<null>		keepdir/.b/ffile	0
<null>		keepdir//file	0
<null>		a/.b.c	0
<null>		.b/x/c	0
<null>		b.log.1	0
<null>		.other/.b	0
<null>		keep/x.log	0
<null>		keep/a.log	0
<null>		keepdir/a/b/c	0
<null>		.x	0
<null>		..y	0
<null>		a.b.c	0
<null>		.a.b.c	0
<null>		/a	0
<null>		/a/b	0
<null>		/.b	0
<null>		a/b/c/d/e	0
<null>			0
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		.	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		..	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		b	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		x	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		ax	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		.b	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		.c	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		.other	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		aa	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a.c	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		.b.c	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		x.c	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		ab.c	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		.txt	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a.txt	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		.log	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		keep	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		keepdir	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		ab	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a_b	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		pdf	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a.pdf	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		.pdf	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		out	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		outdir	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		x/	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		log.1	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		log.2.log	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		b.log	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a.b	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		keepdir/.other/keepdir/sub/file	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a/b	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a/b/c	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a/b/c/d	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a//b	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a///b	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a/b/	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a/.b	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a/./b	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a/.	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a/..	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		.other/keepdir	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		.other/keepdir/sub	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		keepdir/file	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		keepdir/.f	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		keepdir/.f/child	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		other/keepdir/file	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a/x	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		.b/x	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a/.b/x	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a/./x	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		b/x	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		x.log	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a/b.log	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a.b/c	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a/.b/c	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		keepdir/.b/ffile	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		keepdir//file	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a/.b.c	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		.b/x/c	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		b.log.1	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		.other/.b	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		keep/x.log	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		keep/a.log	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		keepdir/a/b/c	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		.x	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		..y	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a.b.c	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		.a.b.c	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		/a	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		/a/b	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		/.b	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$		a/b/c/d/e	1
^(?!^\(\ (?:\ [^/]*?\ )\ \)$).+$			0
^(?!^\(\)$).+$		.	1
^(?!^\(\)$).+$		..	1
^(?!^\(\)$).+$		a	1
^(?!^\(\)$).+$		b	1
^(?!^\(\)$).+$		x	1
^(?!^\(\)$).+$		ax	1
^(?!^\(\)$).+$		.b	1
